ID,x,y,final_PM25,year,month
295211,121.1562597,25.05530577,14.619124987,2010,8
295212,121.1856888,25.05530577,14.452098393,2010,8
295213,121.2151179,25.05530577,14.520810384,2010,8
295214,121.244547,25.05530577,14.960157779,2010,8
295215,121.2739761,25.05530577,15.467863166,2010,8
295216,121.3034052,25.05530577,16.116771616,2010,8
295217,121.3328343,25.05530577,16.808371941,2010,8
295218,121.3622634,25.05530577,17.331336629,2010,8
295219,121.3916925,25.05530577,17.964237895,2010,8
295220,121.4211216,25.05530577,18.659661013,2010,8
295221,121.4505507,25.05530577,19.310784722,2010,8
295222,121.4799798,25.05530577,19.42801744,2010,8
295223,121.5094089,25.05530577,19.574006386,2010,8
295224,121.5388381,25.05530577,18.43344598,2010,8
295225,121.5682672,25.05530577,17.957421408,2010,8
295226,121.5976963,25.05530577,17.368051572,2010,8
295227,121.6271254,25.05530577,17.259265071,2010,8
295228,121.6565545,25.05530577,17.049021658,2010,8
295229,121.6859836,25.05530577,16.524936272,2010,8
295230,121.7154127,25.05530577,16.151777646,2010,8
295231,121.7448418,25.05530577,15.803893026,2010,8
295232,121.7742709,25.05530577,15.508913835,2010,8
295233,121.8037,25.05530577,15.095803505,2010,8
295234,121.8331291,25.05530577,14.742102488,2010,8
295235,121.8625582,25.05530577,14.453048693,2010,8
295236,121.8919873,25.05530577,14.142095282,2010,8
295237,121.9214164,25.05530577,13.838848679,2010,8
296122,121.0385433,25.02810918,14.97576207,2010,8
296123,121.0679724,25.02810918,14.813216759,2010,8
296124,121.0974015,25.02810918,14.669376872,2010,8
296125,121.1268306,25.02810918,14.694226894,2010,8
296126,121.1562597,25.02810918,14.767484246,2010,8
296127,121.1856888,25.02810918,14.825051286,2010,8
296128,121.2151179,25.02810918,15.083780399,2010,8
296129,121.244547,25.02810918,15.581706278,2010,8
296130,121.2739761,25.02810918,16.21333909,2010,8
296131,121.3034052,25.02810918,16.995038866,2010,8
296132,121.3328343,25.02810918,17.632737337,2010,8
296133,121.3622634,25.02810918,18.231322444,2010,8
296134,121.3916925,25.02810918,18.822826265,2010,8
296135,121.4211216,25.02810918,19.469394323,2010,8
296136,121.4505507,25.02810918,19.952767643,2010,8
296137,121.4799798,25.02810918,19.618031301,2010,8
296138,121.5094089,25.02810918,19.417635952,2010,8
296139,121.5388381,25.02810918,17.566686032,2010,8
296140,121.5682672,25.02810918,16.423961074,2010,8
296141,121.5976963,25.02810918,16.273383678,2010,8
296142,121.6271254,25.02810918,16.259723863,2010,8
296143,121.6565545,25.02810918,16.17170787,2010,8
296144,121.6859836,25.02810918,16.077370454,2010,8
296145,121.7154127,25.02810918,15.899706344,2010,8
296146,121.7448418,25.02810918,15.673958705,2010,8
296147,121.7742709,25.02810918,15.411737296,2010,8
296148,121.8037,25.02810918,15.105412931,2010,8
296149,121.8331291,25.02810918,14.778709668,2010,8
296150,121.8625582,25.02810918,14.533410238,2010,8
296151,121.8919873,25.02810918,14.293399381,2010,8
296152,121.9214164,25.02810918,14.083545492,2010,8
297037,121.0385433,25.00091259,15.10344537,2010,8
297038,121.0679724,25.00091259,14.935986973,2010,8
297039,121.0974015,25.00091259,14.826971331,2010,8
297040,121.1268306,25.00091259,14.837384069,2010,8
297041,121.1562597,25.00091259,14.978653606,2010,8
297042,121.1856888,25.00091259,15.190360998,2010,8
297043,121.2151179,25.00091259,15.500203598,2010,8
297044,121.244547,25.00091259,16.069743996,2010,8
297045,121.2739761,25.00091259,16.858679741,2010,8
297046,121.3034052,25.00091259,17.774278178,2010,8
297047,121.3328343,25.00091259,18.422149197,2010,8
297048,121.3622634,25.00091259,18.741718907,2010,8
297049,121.3916925,25.00091259,19.094676995,2010,8
297050,121.4211216,25.00091259,19.362693302,2010,8
297051,121.4505507,25.00091259,19.594996773,2010,8
297052,121.4799798,25.00091259,17.663258042,2010,8
297053,121.5094089,25.00091259,16.275339935,2010,8
297054,121.5388381,25.00091259,15.492102944,2010,8
297055,121.5682672,25.00091259,15.58167129,2010,8
297056,121.5976963,25.00091259,15.595902474,2010,8
297057,121.6271254,25.00091259,15.785754637,2010,8
297058,121.6565545,25.00091259,15.867913815,2010,8
297059,121.6859836,25.00091259,15.880869528,2010,8
297060,121.7154127,25.00091259,15.758705494,2010,8
297061,121.7448418,25.00091259,15.624701848,2010,8
297062,121.7742709,25.00091259,15.416133128,2010,8
