ID,x,y,final_PM25,datetime
288821,121.5976963,25.24568191,12.943414467,200808
288821,121.5976963,25.24568191,18.056734911,200809
288821,121.5976963,25.24568191,30.04636699,200810
288821,121.5976963,25.24568191,13.886157593,200811
288821,121.5976963,25.24568191,18.222687567,200812
288822,121.6271254,25.24568191,13.006777576,200801
288822,121.6271254,25.24568191,25.343611608,200802
288822,121.6271254,25.24568191,12.484234691,200803
288822,121.6271254,25.24568191,27.820110124,200804
288822,121.6271254,25.24568191,19.396827231,200805
288822,121.6271254,25.24568191,18.566375418,200806
288822,121.6271254,25.24568191,7.5637086984,200807
288822,121.6271254,25.24568191,13.437626315,200808
288822,121.6271254,25.24568191,17.705230968,200809
288822,121.6271254,25.24568191,31.078084038,200810
288822,121.6271254,25.24568191,14.806687494,200811
288822,121.6271254,25.24568191,19.89878939,200812
289731,121.4505507,25.21848531,12.608531105,200801
289731,121.4505507,25.21848531,21.556101067,200802
289731,121.4505507,25.21848531,11.060258149,200803
289731,121.4505507,25.21848531,29.724528843,200804
289731,121.4505507,25.21848531,21.310262595,200805
289731,121.4505507,25.21848531,18.43964995,200806
289731,121.4505507,25.21848531,9.0281450932,200807
289731,121.4505507,25.21848531,13.220552237,200808
289731,121.4505507,25.21848531,21.606812628,200809
289731,121.4505507,25.21848531,31.075142736,200810
289731,121.4505507,25.21848531,14.29984376,200811
289731,121.4505507,25.21848531,19.675895684,200812
289732,121.4799798,25.21848531,12.502589203,200801
289732,121.4799798,25.21848531,16.617397122,200802
289732,121.4799798,25.21848531,11.194869002,200803
289732,121.4799798,25.21848531,26.612326094,200804
289732,121.4799798,25.21848531,19.411946471,200805
289732,121.4799798,25.21848531,16.567969828,200806
289732,121.4799798,25.21848531,8.123425001,200807
289732,121.4799798,25.21848531,12.204297571,200808
289732,121.4799798,25.21848531,20.721943385,200809
289732,121.4799798,25.21848531,29.239802835,200810
289732,121.4799798,25.21848531,13.630302862,200811
289732,121.4799798,25.21848531,17.911326013,200812
289733,121.5094089,25.21848531,11.060530471,200801
289733,121.5094089,25.21848531,10.672629273,200802
289733,121.5094089,25.21848531,12.112834206,200803
289733,121.5094089,25.21848531,22.369115918,200804
289733,121.5094089,25.21848531,17.529532407,200805
289733,121.5094089,25.21848531,14.994267201,200806
289733,121.5094089,25.21848531,6.5043632903,200807
289733,121.5094089,25.21848531,10.975666418,200808
289733,121.5094089,25.21848531,20.395781654,200809
289733,121.5094089,25.21848531,26.935009748,200810
289733,121.5094089,25.21848531,13.160603804,200811
289733,121.5094089,25.21848531,16.420818866,200812
289734,121.5388381,25.21848531,10.510718329,200801
289734,121.5388381,25.21848531,9.4257898085,200802
289734,121.5388381,25.21848531,12.767919334,200803
289734,121.5388381,25.21848531,20.988895859,200804
289734,121.5388381,25.21848531,16.620272936,200805
289734,121.5388381,25.21848531,14.270776997,200806
289734,121.5388381,25.21848531,6.0709171277,200807
289734,121.5388381,25.21848531,10.710979834,200808
289734,121.5388381,25.21848531,20.018427789,200809
289734,121.5388381,25.21848531,26.121635002,200810
289734,121.5388381,25.21848531,12.911907874,200811
289734,121.5388381,25.21848531,15.774617607,200812
289735,121.5682672,25.21848531,10.3160334,200801
289735,121.5682672,25.21848531,11.6193153,200802
289735,121.5682672,25.21848531,23.4630669,200803
289735,121.5682672,25.21848531,15.761146,200804
289735,121.5682672,25.21848531,18.4859769,200805
289735,121.5682672,25.21848531,14.0011594,200806
289735,121.5682672,25.21848531,13.6389449,200807
289735,121.5682672,25.21848531,17.5897897,200808
289735,121.5682672,25.21848531,15.48207,200809
289735,121.5682672,25.21848531,16.7549123,200810
289735,121.5682672,25.21848531,12.7766667,200811
289735,121.5682672,25.21848531,15.6765162,200812
289736,121.5976963,25.21848531,13.041731804,200801
289736,121.5976963,25.21848531,21.949687238,200802
289736,121.5976963,25.21848531,12.795620318,200803
289736,121.5976963,25.21848531,27.569299469,200804
289736,121.5976963,25.21848531,18.841181841,200805
289736,121.5976963,25.21848531,16.402207339,200806
289736,121.5976963,25.21848531,8.6991164526,200807
289736,121.5976963,25.21848531,13.425266382,200808
289736,121.5976963,25.21848531,19.024316357,200809
289736,121.5976963,25.21848531,29.929370528,200810
289736,121.5976963,25.21848531,13.399112369,200811
289736,121.5976963,25.21848531,17.921020038,200812
289737,121.6271254,25.21848531,12.517161949,200801
289737,121.6271254,25.21848531,25.286512686,200802
289737,121.6271254,25.21848531,13.488693573,200803
289737,121.6271254,25.21848531,29.282462478,200804
289737,121.6271254,25.21848531,19.537143972,200805
289737,121.6271254,25.21848531,19.162049679,200806
289737,121.6271254,25.21848531,7.7231904867,200807
289737,121.6271254,25.21848531,14.468942354,200808
289737,121.6271254,25.21848531,19.02210443,200809
289737,121.6271254,25.21848531,31.605931076,200810
289737,121.6271254,25.21848531,14.539473406,200811
289737,121.6271254,25.21848531,20.591110149,200812
290645,121.4211216,25.19128872,11.668034128,200801
290645,121.4211216,25.19128872,24.958620877,200802
290645,121.4211216,25.19128872,12.665895317,200803
290645,121.4211216,25.19128872,33.083694532,200804
290645,121.4211216,25.19128872,22.960436005,200805
290645,121.4211216,25.19128872,20.913986505,200806
290645,121.4211216,25.19128872,8.753231235,200807
290645,121.4211216,25.19128872,14.66147369,200808
290645,121.4211216,25.19128872,23.370328065,200809
290645,121.4211216,25.19128872,33.081841372,200810
290645,121.4211216,25.19128872,14.802074196,200811
290645,121.4211216,25.19128872,22.280988424,200812
290646,121.4505507,25.19128872,12.755134784,200801
290646,121.4505507,25.19128872,22.22702529,200802
290646,121.4505507,25.19128872,12.24029339,200803
290646,121.4505507,25.19128872,31.302748271,200804
290646,121.4505507,25.19128872,21.806579064,200805
290646,121.4505507,25.19128872,19.139459225,200806
290646,121.4505507,25.19128872,9.5744779791,200807
290646,121.4505507,25.19128872,13.97200861,200808
290646,121.4505507,25.19128872,22.30427326,200809
290646,121.4505507,25.19128872,31.749169524,200810
290646,121.4505507,25.19128872,14.019061358,200811
290646,121.4505507,25.19128872,20.661015381,200812
290647,121.4799798,25.19128872,12.872703579,200801
290647,121.4799798,25.19128872,15.382734461,200802
290647,121.4799798,25.19128872,12.000817908,200803
290647,121.4799798,25.19128872,26.944685534,200804
290647,121.4799798,25.19128872,19.461418243,200805
290647,121.4799798,25.19128872,16.612023629,200806
290647,121.4799798,25.19128872,8.880603824,200807
290647,121.4799798,25.19128872,12.486853341,200808
290647,121.4799798,25.19128872,21.930922667,200809
290647,121.4799798,25.19128872,29.199535323,200810
290647,121.4799798,25.19128872,13.307378408,200811
290647,121.4799798,25.19128872,18.234698216,200812
290648,121.5094089,25.19128872,10.3160334,200801
290648,121.5094089,25.19128872,11.6193153,200802
290648,121.5094089,25.19128872,23.4630669,200803
290648,121.5094089,25.19128872,15.761146,200804
290648,121.5094089,25.19128872,18.4859769,200805
290648,121.5094089,25.19128872,14.0011594,200806
290648,121.5094089,25.19128872,13.6389449,200807
290648,121.5094089,25.19128872,17.5897897,200808
290648,121.5094089,25.19128872,15.48207,200809
290648,121.5094089,25.19128872,16.7549123,200810
290648,121.5094089,25.19128872,12.7766667,200811
290648,121.5094089,25.19128872,15.6765162,200812
290649,121.5388381,25.19128872,10.3160334,200801
290649,121.5388381,25.19128872,11.6193153,200802
290649,121.5388381,25.19128872,23.4630669,200803
290649,121.5388381,25.19128872,15.761146,200804
290649,121.5388381,25.19128872,18.4859769,200805
290649,121.5388381,25.19128872,14.0011594,200806
290649,121.5388381,25.19128872,13.6389449,200807
290649,121.5388381,25.19128872,17.5897897,200808
290649,121.5388381,25.19128872,15.48207,200809
290649,121.5388381,25.19128872,16.7549123,200810
290649,121.5388381,25.19128872,12.7766667,200811
290649,121.5388381,25.19128872,15.6765162,200812
290650,121.5682672,25.19128872,12.042331474,200801
290650,121.5682672,25.19128872,11.612988203,200802
290650,121.5682672,25.19128872,12.928064893,200803
290650,121.5682672,25.19128872,23.627054912,200804
290650,121.5682672,25.19128872,17.378959039,200805
290650,121.5682672,25.19128872,13.89392835,200806
290650,121.5682672,25.19128872,7.8541735199,200807
290650,121.5682672,25.19128872,11.967994037,200808
290650,121.5682672,25.19128872,20.906776154,200809
290650,121.5682672,25.19128872,27.099470259,200810
290650,121.5682672,25.19128872,12.56054965,200811
290650,121.5682672,25.19128872,15.41981493,200812
290651,121.5976963,25.19128872,13.263963451,200801
290651,121.5976963,25.19128872,21.368204397,200802
290651,121.5976963,25.19128872,13.283225212,200803
290651,121.5976963,25.19128872,29.252736228,200804
290651,121.5976963,25.19128872,19.701235715,200805
290651,121.5976963,25.19128872,15.952764321,200806
290651,121.5976963,25.19128872,9.1265362031,200807
290651,121.5976963,25.19128872,14.282413792,200808
